,,,Subject,Relationship,Object,Orginal Sentece
impose,impose,criminal_triples/case_13.txt,Gattie,has,vote impose,The state court's prejudice determination rested on its finding that Gattie's vote to impose the death penalty was not based on Tharpe's race
imprecision,imprecision,criminal_triples/case_18.txt,statistical fact,reflection of,inherent imprecision,"As we explained in Hall, the standard error of measurement is ""a statistical fact, a reflection of the inherent imprecision of the test itself."
imprisonment,imprisonment,criminal_triples/case_12.txt,imprisonment,average period of was,In 1987 just seven years,"In 1987, the average period of imprisonment between death sentence and execution was just over seven years"
improper,improper,criminal_triples/case_11.txt,Lee 's counsel,giving,improper advice,"Applying our two-part test for ineffective assistance claims from Strickland v. Washington, 466 U. S. 668 (1984), the District Court concluded that Lee's counsel had performed deficiently by giving improper advice about the deportation consequences of the plea"
inapt,inapt,criminal_triples/case_15.txt,prosecution,is,For reasons inapt tort analog,"For all these reasons, malicious prosecution is a strikingly inapt ""tort analog[y],"" Wilson, 471 U. S., at 277, for Fourth Amendment violations"
incarceration,incarceration,criminal_triples/case_19.txt,has overturned,has served,all of term of incarceration,"Recovery under the Act is available only to a defendant who has served all or part of a term of incarceration pursuant to a felony conviction, and whose conviction has been overturned for reasons other than insufficiency of evidence or legal error unrelated to actual innocence"
incompetence,incompetence,criminal_triples/case_11.txt,attorney,for,incompetence,"But for his attorney's incompetence, Lee would have known that accepting the plea agreement would certainly lead to deportation"
incomplete,incomplete,criminal_triples/case_19.txt,Court 's discussion,is,incomplete,"The Court's discussion of the issue, which is dictum, is substantially incomplete"
incontinent,incontinent,criminal_triples/case_12.txt,He,is,incontinent,He is incontinent
inconvenient,inconvenient,criminal_triples/case_17.txt,majority,encounters,inconvenient roadblock,"Having completed an arduous detour around the question that we agreed to decide, the majority encounters an inconvenient roadblock: The Court of Appeals has already determined that any error of the sort the majority identifies today was harmless"
incorrect,incorrect,criminal_triples/case_17.txt,This,was,plainly incorrect,This was plainly incorrect
indeterminate,indeterminate,criminal_triples/case_19.txt,trial court,imposed,indeterminate prison sentence,"The trial court imposed an indeterminate prison sentence and ordered him to pay $4,413.00 in costs, fees, and restitution"
indicted,indicted,criminal_triples/case_11.txt,jury,indicted,him,"Lee admitted that the drugs were his, and a grand jury indicted him on one count of possessing ecstasy with intent to distribute"
indictment,indictment,criminal_triples/case_15.txt,indictment,was,based,The effect of that view would be to cut off Manuel's claim on the date of his grand jury indictment (March 30)--even though that indictment (like the County Court's probable-cause proceeding) was entirely based on false testi-mony and even though Manuel remained in detention for 36 days longer
ineffectiveness,ineffectiveness,criminal_triples/case_11.txt,present case,involves,claim of ineffectiveness of counsel,"The present case involves a claim of ineffectiveness of counsel extending to advice specifically undermining the judge's warnings themselves, which the defendant contemporaneously stated on the record he did not understand"
inexorably,inexorably,criminal_triples/case_17.txt,risk,lea to,inexorably conclusion,"lea[d] inexorably to the conclusion that, without the assistance of a psychiatrist to conduct a professional examination on issues relevant to the defense, to help determine whether the insanity defense is viable, to present testimony, and to assist in preparing the cross-examination of a State's psychiatric witnesses, the risk of an inaccurate resolution of sanity issues is extremely high
inexplicably	 criminal_triples/case_13.txt	 Court	 inexplicably declines	 consider 	 Putting aside its misreading of the decision below, the Court inexplicably declines to consider alternative grounds for affirmance
infected	 criminal_triples/case_13.txt	 improper racial animus	 infected	 deliberations of jury 	 One of his claims was that improper racial animus . . . infected the deliberations of the jury."
infringed,infringed,criminal_triples/case_15.txt,defendant officer,infringed,his process rights,"For uncertain reasons, Albright ignored the Fourth Amendment in drafting his complaint; instead, he alleged that the defendant officer had infringed his substantive due process rights"
injured,injured,criminal_triples/case_19.txt,defendant,injured,victims,What if the evidence amply establishes that the defendant injured the victims to whom restitution was paid but the defendant's conviction is reversed on a ground that would be inapplicable in a civil suit
injurious,injurious,criminal_triples/case_17.txt,error,substantial and injurious effect on,outcome of sentencing proceeding,"But the Court of Appeals concluded that, even if Dr. Goff's performance did not satisfy Ake, the error did not have a substantial and injurious effect on the outcome of the sentencing proceeding"
insanity,insanity,criminal_triples/case_17.txt,insanity defense,is viable to,testimony,"lea[d] inexorably to the conclusion that, without the assistance of a psychiatrist to conduct a professional examination on issues relevant to the defense, to help determine whether the insanity defense is viable, to present testimony, and to assist in preparing the cross-examination of a State's psychiatric witnesses, the risk of an inaccurate resolution of sanity issues is extremely high
inserts	 criminal_triples/case_15.txt	 Court	 inserts	 word pretrial 	 Although the Court inserts the word pretrial"" in this sentence, its logic provides no reason for that limitation"
insufficient,insufficient,criminal_triples/case_13.txt,Tharpe 's allegation,was insufficient,he had failed,"Tharpe's allegation of ineffective assistance of counsel was insufficient to establish cause because he had ""failed to establish the requisite deficiency or prejudice."
interfere,interfere,criminal_triples/case_16.txt,defendant,interfere with,pending IRS proceeding,"He argued, among other things, that a violation of the Omnibus Clause requires the Government to show that the defendant had tried to interfere with a ""pending IRS proceeding,"" such as a particular investigation"
interference,interference,criminal_triples/case_16.txt,clause,refers to,specific interference with proceedings,"Rather, the clause as a whole refers to specific interference with targeted governmental tax-related proceedings, such as a particular investigation or audit"
invalidated,invalidated,criminal_triples/case_18.txt,Hall,invalidated,Florida 's IQ cutoff,"Hall invalidated Florida's strict IQ cutoff because the cutoff took ""an IQ score as final and conclusive evidence of a defendant's intellectual capacity, when experts in the field would consider other evidence."
invalidity,invalidity,criminal_triples/case_19.txt,Exoneration Act,does afford process Given,invalidity of convictions,"Given the invalidity of the convictions, does the Exoneration Act afford sufficient process to enable the State to retain the money"
juveniles,juveniles,criminal_triples/case_20.txt,sexual assault,victims of are,often juveniles,"Sex offenders are a serious threat, and ""the victims of sexual assault are most often juveniles."
kidnaped,kidnaped,criminal_triples/case_13.txt,Tharpe,kidnaped,his wife,"After murdering Freeman, Tharpe kidnaped and raped his wife, leaving Freeman's body lying in the ditch"
killing,killing,criminal_triples/case_13.txt,Tharpe,killing,her,"Tharpe shot Freeman, rolled her body into a ditch, reloaded, and shot her again, killing her"
lack,lack,criminal_triples/case_17.txt,his conduct,obvious lack of,regard,"And his crime ""was especially heinous, atrocious, or cruel"": He executed the only potential eyewitness to his robbery, and his conduct during and after the crime showed an ""obvious lack of regard or compassion for the life and human dignity of the victim."
less,less,criminal_triples/case_11.txt,conviction,been,less severe than under judgment,"The Court stated that the defendant in those circumstances ""must show"" a reasonable probability that ""the conviction or sentence, or both, under the offer's terms would have been less severe than under the judgment and sentence that in fact were imposed."
lesser,lesser,criminal_triples/case_11.txt,end result,been favorable by,reason of plea to lesser charge,"The Court emphasized that, in addition to showing a reasonable probability that the defendant ""would have accepted the earlier plea offer,"" it is also ""necessary"" to show a ""reasonable probability that the end result of the criminal process would have been more favorable by reason of a plea to a lesser charge or a sentence of less prison time."
lied,lied,criminal_triples/case_15.txt,technician,lied in,his report,"But the technician lied in his report, claiming that one of the pills was ""found to be . . . positive for the probable presence of ecstasy."
lies,lies,criminal_triples/case_15.txt,right infringed lies,is in,Fourth Amendment .6,"If the complaint is that a form of legal process resulted in pretrial detention unsupported by probable cause, then the right allegedly infringed lies in the Fourth Amendment."
lower,lower,criminal_triples/case_13.txt,lower court,has,opinion find,"In its brief per curiam opinion, the Court misreads a lower court's opinion to find an error that is not there, and then refuses to entertain alternative grounds for affirmance"
malicious,malicious,criminal_triples/case_15.txt,Manuel,analogizes,his claim to common-law tort of malicious prosecution,"Relying on this Court's caselaw, Manuel analogizes his claim to the common-law tort of malicious prosecution"
malingering,malingering,criminal_triples/case_17.txt,his health,was so impaired despite,McWilliams 's malingering,"In light of all this, the defense would have faced an uphill battle in convincing the sentencing judge that, despite McWilliams's consistent malingering, his mental health was so impaired that it constituted a mitigating circumstance and that it outweighed the three aggravators the State proved"
militate,militate,criminal_triples/case_19.txt,considerations,might militate against,blanket rule,"The Court summarily rejects the proposition that "" 'equitable considerations' "" might militate against a blanket rule requiring the refund of money paid as restitution, see ibid., but why is this so"
minimize,minimize,criminal_triples/case_19.txt,numerous pre,minimize,risk,"Colorado also suggests that ""numerous pre- and post-deprivation procedures""--including the need for probable cause to support criminal charges, the jury-trial right, and the State's burden to prove guilt beyond a reasonable doubt--adequately minimize the risk of erroneous deprivation of property"
misapprehends,misapprehends,criminal_triples/case_19.txt,Colorado,misapprehends,Wolfish,Colorado misapprehends Wolfish
miscarriage,miscarriage,criminal_triples/case_19.txt,his conviction,was result of,miscarriage of justice,"More specifically, the Exoneration Act entitles an exonerated defendant to compensation if he was convicted of a felony, was incarcerated, and, among other requirements, can prove by clear and convincing evidence that he is ""actually innocent,"" meaning that his ""conviction was the result of a miscarriage of justice"" or that he is factually innocent"
misdemeanors,misdemeanors,criminal_triples/case_16.txt,certain misdemeanors,is in,Tax Code,"Second, the Court asserts that its reading prevents the Omnibus Clause from overlapping with certain misdemeanors in the Tax Code"
mislead,mislead,criminal_triples/case_16.txt,defendant,of,effort mislead,But the same could have been said of the defendant's effort to mislead the investigating agent in Aguilar
misplaced,misplaced,criminal_triples/case_14.txt,Petitioner 's reliance,is,misplaced,Petitioner's reliance on Rule 4(b)(2) is also misplaced
misreading,misreading,criminal_triples/case_13.txt,Court,Putting,its misreading of decision,"Putting aside its misreading of the decision below, the Court inexplicably declines to consider alternative grounds for affirmance"
misreads,misreads,criminal_triples/case_13.txt,majority,misreads,decision below,"The majority misreads the decision below as resting ""solely"" on prejudice"
mistaken,mistaken,criminal_triples/case_15.txt,Court,is,mistaken,"The Court is mistaken in saying that its decision ""follows from settled precedent."
mistakenly,mistakenly,criminal_triples/case_14.txt,he,reasonably but mistakenly believes,judgment,"As this Court explained in construing Rule 4(a)(2)'s parallel provision for civil cases, the Rule ""was intended to protect the unskilled litigant who files a notice of appeal from a decision that he reasonably but mistakenly believes to be a final judgment, while failing to file a notice of appeal from the actual final judgment."
mitigating,mitigating,criminal_triples/case_17.txt,counsel,has,pretrial motion for psychiatric evaluation of sanity including aspects of mental condition relevant to mitigating circumstances considered in capital case in sentencing stage,"It also granted counsel's pretrial motion for a psychiatric evaluation of McWilliams' sanity, including aspects of his mental condition relevant to ""mitigating circumstances to be considered in a capital case in the sentencing stage."
murdered,murdered,criminal_triples/case_13.txt,Tharpe,murdered,Freeman,"As aggravating factors, the jury found that Tharpe murdered Freeman while committing two other capital felonies--the aggravated kidnapings of his wife and Freeman--and that the murder was outrageously or wantonly vile, horrible, or inhuman"
murdering,murdering,criminal_triples/case_13.txt,Tharpe,murdering,Freeman,"After murdering Freeman, Tharpe kidnaped and raped his wife, leaving Freeman's body lying in the ditch"
negatively,negatively,criminal_triples/case_16.txt,foreseeable,is,defined negatively,"Reasonably foreseeable is again defined negatively as ""not . . . that the defendant knew the IRS may catch onto his unlawful scheme eventually."
neither,neither,criminal_triples/case_16.txt,Marinello,did,neither,"Despite these warnings, Marinello did neither for another four years"
none,none,criminal_triples/case_19.txt,Court,regrettably mentions,none,The Court regrettably mentions none of this
nullity,nullity,criminal_triples/case_18.txt,Atkins,become,nullity,"If the States were to have complete autonomy to define intellectual disability as they wished, we have observed, ""Atkins could become a nullity, and the Eighth Amendment's protection of human dignity would not become a reality."
obstruct,obstruct,criminal_triples/case_16.txt,statutory words obstruct,are,broad,"The statutory words ""obstruct or impede"" are broad"
obstructing,obstructing,criminal_triples/case_16.txt,person,obstructing,administration,"I also agree that the object of these words--the thing a person is prohibited from obstructing the due administration of--is ""this title,"" i.e., Title 26, which contains the entire Tax Code"
obstruction,obstruction,criminal_triples/case_16.txt,Congress,leaving prohibition against,obstruction,"But Congress subsequently deleted the word ""therein,"" leaving only a broadly worded prohibition against obstruction of ""the due administration of justice."
obstructive,obstructive,criminal_triples/case_16.txt,defendant,between,obstructive conduct,"There, the Court required the Government to show there was a ""nexus"" between the defendant's obstructive conduct and a particular judicial proceeding"
odious,odious,criminal_triples/case_13.txt,opinions,are,odious,The opinions in the affidavit are certainly odious
offender,offender,criminal_triples/case_19.txt,defendant,placed on,sex offender registry,"Compensation under the Exoneration Act includes $70,000 per year of incarceration for the wrongful conviction; additional sums per year served while the defendant is under a sentence of death, or placed on parole or probation or on a sex offender registry; compensation for child support payments due during incarceration; tuition waivers at state institutions of higher education for the exonerated person and for any children conceived or legally adopted before the incarceration; and reasonable attorney's fees for bringing an Exoneration Act claim"
offenders,offenders,criminal_triples/case_20.txt,law,arbitrarily burdens,registered sex offenders,"Rather, the law ""arbitrarily burdens all registered sex offenders by preventing a wide range of communication and expressive activity unrelated to achieving its purported goal."
offends,offends,criminal_triples/case_19.txt,it,offends,principle,"Under Medina, a criminal procedure violates due process if ""it offends some principle of justice so rooted in the traditions and conscience of our people as to be ranked as fundamental."
offense,offense,criminal_triples/case_12.txt,he,sequence of,events from offense to his arrest to trial,"In Dr. Goff's opinion, however, Madison does not ""understan[d] the act that . . . he is being punished for"" because he cannot recall ""the sequence of events from the offense to his arrest to the trial or any of those details"" and believes that he ""never went around killing folks."
offenses,offenses,criminal_triples/case_16.txt,Certain misdemeanor offenses,is in,Tax Code,"Certain misdemeanor offenses in the Tax Code--such as failing to obey a summons, §7210--apply to conduct that takes place during a proceeding and, thus, would still violate the Omnibus Clause under the Court's interpretation"
omitted,omitted,criminal_triples/case_13.txt,I,will provide,omitted context,I will briefly provide this omitted context
opposed,opposed,criminal_triples/case_17.txt,State,vigorously opposed,review of question,"The State vigorously opposed review of that question, calling it ""an invitation to conduct factbound error correction,"" Brief in Opposition 13, and we denied review"
opposing,opposing,criminal_triples/case_17.txt,opposing party,of,psychiatrists,"A psychiatrist may, among other things, ""gather facts,"" ""analyze the information gathered and from it draw plausible conclusions,"" and ""know the probative questions to ask of the opposing party's psychiatrists and how to interpret their answers."
opposite,opposite,criminal_triples/case_15.txt,ten others,taking,opposite view,"The Seventh Circuit recognized that its position makes it an outlier among the Courts of Appeals, with ten others taking the opposite view"
opposition,opposition,criminal_triples/case_18.txt,Florida 's rule,was in,direct opposition to views,"The Court's conclusion that Florida's rule was ""in direct opposition to the views of those who design, administer, and interpret the IQ test"" was not enough to decide the case"
outrageously,outrageously,criminal_triples/case_13.txt,murder,was,outrageously vile,"As aggravating factors, the jury found that Tharpe murdered Freeman while committing two other capital felonies--the aggravated kidnapings of his wife and Freeman--and that the murder was outrageously or wantonly vile, horrible, or inhuman"
overrule,overrule,criminal_triples/case_15.txt,court,overrule,Newsome,"The court refused to overrule Newsome and said that ""Manuel's argument is better left for the Supreme Court."
overturned,overturned,criminal_triples/case_13.txt,trial court 's findings,may,may overturned only for error,"See Skilling v. United States, 561 U. S. 358, 396 (2010) (""In reviewing claims [of juror bias], the deference due to district courts is at its pinnacle: 'A trial court's findings of juror impartiality may be overturned only for manifest error' "" (quoting Mu'Min v. Virginia, 500 U. S. 415, 428 (1991)))"
overturns,overturns,criminal_triples/case_18.txt,Court,overturns,CCA 's conclusion,"The Court overturns the CCA's conclusion that Moore failed to present sufficient evidence of both inadequate intellectual functioning and significant deficits in adaptive behavior without even considering ""objective indicia of society's standards"" reflected in the practices among the States"
partisan,partisan,criminal_triples/case_17.txt,partisan defense expert,is,required,"Pol'y 367, 383 (2007) (""The intentions of the Ake Court regarding the role of the expert are not obvious from the opinion""); Giannelli, Ake v. Oklahoma: The Right to Expert Assistance in a Post-Daubert, Post-DNA World, 89 Cornell L. Rev. 1305, 1399 (2004) (""It is uncertain from Ake whether the appointment of a neutral expert (who reports to the court) is sufficient or whether a 'partisan' defense expert is required""); Bailey, Ake v. Oklahoma and an Indigent Defendant's 'Right' to an Expert Witness: A Promise Denied or Imagined"
penalties,penalties,criminal_triples/case_19.txt,defendants,could recover,monetary penalties,"When a conviction was reversed, defendants could recover fines and monetary penalties assessed as part of the conviction"
penalty,penalty,criminal_triples/case_11.txt,Deportation,is,always penalty,"Deportation is always ""a particularly severe penalty,"" Padilla, 559 U. S., at 365 (internal quotation marks omitted), and we have ""recognized that 'preserving the client's right to remain in the United States may be more important to the client than any potential jail sentence,' "" id., at 368 (quoting St. Cyr, 533 U. S., at 322; alteration and some internal quotation marks omitted); see also Padilla, 559 U. S., at 364 (""[D]eportation is an integral part--indeed, sometimes the most important part--of the penalty that may be imposed on noncitizen defendants who plead guilty to specified crimes."
pernicious,pernicious,criminal_triples/case_11.txt,Court 's decision,will have,pernicious consequences for justice system,The Court's decision today will have pernicious consequences for the criminal justice system
poisoning,poisoning,criminal_triples/case_18.txt,he,survived,eating after two bouts of food poisoning,"Cast out of his home, he survived on the streets, eating from trash cans, even after two bouts of food poisoning"
prejudice,prejudice,criminal_triples/case_11.txt,defendant,can show,prejudice,"(a) When a defendant claims that his counsel's deficient performance deprived him of a trial by causing him to accept a plea, the defendant can show prejudice by demonstrating a ""reasonable probability that, but for counsel's errors, he would not have pleaded guilty and would have insisted on going to trial."
prejudiced,prejudiced,criminal_triples/case_11.txt,he,was,prejudiced,Held: Lee has demonstrated that he was prejudiced by his counsel's erroneous advice
prison,prison,criminal_triples/case_11.txt,day,is in,prison,"Based on that assurance, Lee accepted a plea and was sentenced to a year and a day in prison"
prisoner,prisoner,criminal_triples/case_12.txt,Madison,is entitled As,state prisoner,"As a state prisoner, Madison is entitled to federal habeas relief under the Antiterrorism and Effective Death Penalty Act of 1996 (AEDPA) only if the state trial court's adjudication of his incompetence claim ""was contrary to, or involved an unreasonable application of, clearly established Federal law, as determined by"" this Court, or else was ""based on an unreasonable determination of the facts in light of the evidence presented"" in state court"
prisoners,prisoners,criminal_triples/case_12.txt,prisoners,awaiting,execution,That problem concerns the unconscionably long periods of time that prisoners often spend on death row awaiting execution
punish,punish,criminal_triples/case_16.txt,§ 7212,also punish,corrupt solicitation,"According to the House Report, §7212 ""provides for the punishment of threats or threatening acts against agents of the Internal Revenue Service, or any other officer or employee of the United States, or members of the families of such persons, on account of the performance by such agents or officers or employees of their official duties"" and ""will also punish the corrupt solicitation of an internal revenue employee."
punishment,punishment,criminal_triples/case_12.txt,he,being executed as,punishment,"In Panetti, this Court addressed the question whether the Eighth Amendment forbids the execution of a prisoner who lacks ""the mental capacity to understand that [he] is being executed as a punishment for a crime."
punishments,punishments,criminal_triples/case_18.txt,his death sentence,violated,Eighth Amendment 's proscription of punishments,"A state habeas court subsequently determined that, under Atkins v. Virginia, 536 U. S. 304, and Hall v. Florida, 572 U. S. ___, Moore qualified as intellectually disabled and that his death sentence therefore violated the Eighth Amendment's proscription of ""cruel and unusual punishments."
rape,rape,criminal_triples/case_17.txt,Alabama,charged petitioner McWilliams with,rape,"One month after Ake was decided, Alabama charged petitioner McWilliams with rape and murder"
raped,raped,criminal_triples/case_17.txt,McWilliams,raped In,1984,"In 1984, McWilliams ""raped, robbed, and murdered Patricia Vallery Reynolds."
rebuffed,rebuffed,criminal_triples/case_17.txt,he,was,rebuffed,"Rather, he asked for additional help at the judicial sentencing hearing, but was rebuffed"
rebuked,rebuked,criminal_triples/case_18.txt,U. S. ___,rebuked,habeas court,"Just as we have corrected lower courts for taking it upon themselves to dismiss our precedent as outdated, see, e.g., Bosse v. Okla- homa, 580 U. S. ___, ___ (2016) (per curiam) (slip op., at 2), so too the CCA rebuked the habeas court for ignoring binding CCA precedent"
recalcitrant,recalcitrant,criminal_triples/case_16.txt,recalcitrant taxpayer,has,property,"Levy refers to ""a specific mode of collection under which the Secretary of the Treasury distrains and seizes a recalcitrant taxpayer's property."
reject,reject,criminal_triples/case_14.txt,We,reject,each premises,We reject each of these premises
rejecting,rejecting,criminal_triples/case_16.txt,Second Circuit,rejecting,his claim,"The Second Circuit affirmed, rejecting his claim that an Omnibus Clause violation requires the Government to show the defendant tried to interfere with a pending IRS proceeding, such as a particular investigation"
rejection,rejection,criminal_triples/case_19.txt,history,supports,Court 's rejection,This history supports the Court's rejection of the Colorado Exoneration Act's procedures
restraint,restraint,criminal_triples/case_15.txt,Amendment,guaranteed determination as,condition for significant pretrial restraint,"That Amendment, standing alone, guaranteed ""a fair and reliable determination of probable cause as a condition for any significant pretrial restraint."
restraints,restraints,criminal_triples/case_12.txt,restraints,imposed by,Antiterrorism,"But in this case, the restraints imposed by the Antiterrorism and Effective Death Penalty Act of 1996, I agree, preclude consideration of the question"
restrict,restrict,criminal_triples/case_20.txt,States,restrict,dangerous predators,"And this language is bound to be interpreted by some to mean that the States are largely powerless to restrict even the most dangerous sexual predators from visiting any internet sites, including, for example, teenage dating sites and sites designed to permit minors to discuss personal problems with their peers"
restriction,restriction,criminal_triples/case_18.txt,appropriate ways,enforce restriction on,execution of intellectually disabled,"This Court's decision in Atkins v. Virginia, 536 U. S. 304 (2002), the CCA emphasized, ""left it to the States to develop appropriate ways to enforce the constitutional restriction"" on the execution of the intellectually disabled"
restrictions,restrictions,criminal_triples/case_20.txt,restrictions,should apply according to,State,"Therefore, according to the State, the standard applicable to ""time, place, or manner"" restrictions should apply"
restricts,restricts,criminal_triples/case_20.txt,North Carolina statute,restricts,lawful speech,Held: The North Carolina statute impermissibly restricts lawful speech in violation of the First Amendment
retribution,retribution,criminal_triples/case_12.txt,Alabama,seeking,retribution for his criminal act,"Asked at the hearing whether Madison understands that Alabama is seeking retribution against him for his criminal act, Dr. Kirkland answered, ""Certainly."
reversal,reversal,criminal_triples/case_19.txt,fine imposed,has,Where has paid on reversal,"1921) (""Where a fine illegally imposed has been paid, on reversal of the judgment a writ of restitution may issue against the parties who received the fine"")"
reverse,reverse,criminal_triples/case_14.txt,I,would reverse,Eleventh Circuit 's judgment,"Because I would treat the clerk's transmission of the amended judgment as tantamount to, or effectively doing service for, a second appeal notice, I would reverse the Eleventh Circuit's judgment and allow Manrique to include the restitution order in his appeal"
reversed,reversed,criminal_triples/case_11.txt,judgment,is,reversed,"The judgment of the United States Court of Appeals for the Sixth Circuit is reversed, and the case is remanded for further proceedings consistent with this opinion"
risk,risk,criminal_triples/case_17.txt,risk,lea to,inexorably conclusion,"lea[d] inexorably to the conclusion that, without the assistance of a psychiatrist to conduct a professional examination on issues relevant to the defense, to help determine whether the insanity defense is viable, to present testimony, and to assist in preparing the cross-examination of a State's psychiatric witnesses, the risk of an inaccurate resolution of sanity issues is extremely high
risky	 criminal_triples/case_11.txt	 going	 was	 risky 	 The attorney advised Lee that going to trial was very risky"" and that, if he pleaded guilty, he would receive a lighter sentence than he would if convicted at trial"
robbery,robbery,criminal_triples/case_17.txt,McWilliams,had,violent felony convictions for robbery,McWilliams had prior violent felony convictions for first-degree robbery and first-degree rape
robbing,robbing,criminal_triples/case_18.txt,others,robbing,grocery store,"In April 1980, then-20-year-old Bobby James Moore and two others were engaged in robbing a grocery store"
seized,seized,criminal_triples/case_15.txt,Illinois police laboratory,tested,seized pills,"While Manuel was in jail, the Illinois police laboratory tested the seized pills and reported that they contained no controlled substances"
seizure,seizure,criminal_triples/case_15.txt,individual,has,Fourth Amendment right free from unreasonable seizure,"[W]hether an individual's Fourth Amendment right to be free from unreasonable seizure continues beyond legal process so as to allow a malicious prosecution claim based upon the Fourth Amendment
seizures	 criminal_triples/case_15.txt	 Fourth Amendment seizures	 based on	 probable cause 	 79-80; Bailey v. United States, 568 U. S. 186, 192 (2013) ([T]he general rule [is] that Fourth Amendment seizures are 'reasonable' only if based on probable cause to believe that the individual has committed a crime"")"
sentenced,sentenced,criminal_triples/case_11.txt,Lee,was sentenced to,year,"Based on that assurance, Lee accepted a plea and was sentenced to a year and a day in prison"
severe,severe,criminal_triples/case_11.txt,Deportation,is,severe,"Deportation is always ""a particularly severe penalty,"" Padilla, 559 U. S., at 365 (internal quotation marks omitted), and we have ""recognized that 'preserving the client's right to remain in the United States may be more important to the client than any potential jail sentence,' "" id., at 368 (quoting St. Cyr, 533 U. S., at 322; alteration and some internal quotation marks omitted); see also Padilla, 559 U. S., at 364 (""[D]eportation is an integral part--indeed, sometimes the most important part--of the penalty that may be imposed on noncitizen defendants who plead guilty to specified crimes."
shredded,shredded,criminal_triples/case_16.txt,He,shredded,most business records,He shredded or discarded most business records
staggering,staggering,criminal_triples/case_20.txt,it,has,staggering reach,"New York v. Ferber, 458 U. S. 747, 757 (1982)--but it has a staggering reach"
startling,startling,criminal_triples/case_19.txt,It,is,especially startling,It is especially startling to insist that a State must provide a refund after enforcing a restitution judgment on the victims' behalf in reliance on a final judgment that is then vacated on collateral review
strikes,strikes,criminal_triples/case_19.txt,it,strikes under,Mathews,Nor does the Court consider how restitution's unique characteristics might affect the balance that it strikes under Mathews
subpoena,subpoena,criminal_triples/case_17.txt,Alabama Department,respond to,McWilliams 's subpoena for mental health records,"Five weeks before that hearing, the trial court ordered the Alabama Department of Corrections to respond to McWilliams's subpoena for mental health records"
subpoenaed,subpoenaed,criminal_triples/case_17.txt,McWilliams ' counsel,had subpoenaed,further mental health records,"Although McWilliams' counsel had subpoenaed further mental health records from Holman State Prison, where McWilliams was being held, the jury did not have the opportunity to consider them, for, though subpoenaed on August 13, the records had not arrived by August 27, the day of the jury hearing"
sued,sued,criminal_triples/case_15.txt,Albright,sued Oliver under,42 U. S. C. § 1983,"According to the Seventh Circuit, probable cause was sorely lacking, id., at 345, and Albright sued Oliver under 42 U. S. C. §1983, claiming that Oliver had violated his substantive due process right not to be prosecuted without probable cause"
suffers,suffers,criminal_triples/case_18.txt,he,suffers from,intellectual functioning,"Even if [Moore] had proven that he suffers from significantly sub-average general intellectual functioning, the court continued, he failed to prove ""significant and related limitations in adaptive functioning."
suppression,suppression,criminal_triples/case_11.txt,he,seek,suppression,"In that case, the defendant argued that his counsel was constitutionally ineffective because he had failed to seek suppression of his confession before he pleaded no contest"
suspects,suspects,criminal_triples/case_15.txt,seizures,is in,criminal cases including detention of suspects,"In choosing that Amendment ""as the rationale for decision,"" the Court responded to a concurring Justice's view that the Due Process Clause offered the better framework: The Fourth Amendment, the majority countered, was ""tailored explicitly for the criminal justice system, and it[ ] always has been thought to define"" the appropriate process ""for seizures of person[s] . . . in criminal cases, including the detention of suspects pending trial."
suspension,suspension,criminal_triples/case_12.txt,he,petitioned trial court for,suspension of his death sentence,"In 2016, as Madison's execution neared, he petitioned the trial court for a suspension of his death sentence"
suspicions,suspicions,criminal_triples/case_20.txt,Evidence,confirmed,officer 's suspicions,Evidence obtained by search warrant confirmed the officer's suspicions that petitioner was J. R. Gerrard
threat,threat,criminal_triples/case_16.txt,threat,term of,imprisonment,"If the offense under this section occurs in connection with a trial of a criminal case, and the act in violation of this section involves the threat of physical force or physical force, the maximum term of imprisonment which may be imposed for the offense shall be the higher of that otherwise provided by law or the maximum term that could have been imposed for any offense charged in such case"
threats,threats,criminal_triples/case_16.txt,§ 7212,provides for,punishment of threats,"According to the House Report, §7212 ""provides for the punishment of threats or threatening acts against agents of the Internal Revenue Service, or any other officer or employee of the United States, or members of the families of such persons, on account of the performance by such agents or officers or employees of their official duties"" and ""will also punish the corrupt solicitation of an internal revenue employee."
tort,tort,criminal_triples/case_15.txt,Section,creates,species of tort liability,"Section 1983 creates a ""species of tort liability,"" Imbler v. Pachtman, 424 U. S. 409, 417 (1976), for ""the deprivation of any rights, privileges, or immunities secured by the Constitution,"" §1983"
torts,torts,criminal_triples/case_15.txt,court,should look to,common law of torts,"In doing so, the court should look to the common law of torts for guidance, Carey v. Piphus, 435 U. S. 247, 257-258, while also closely attending to the values and purposes of the constitutional right at issue"
traumatic,traumatic,criminal_triples/case_18.txt,medical community,counts,traumatic experiences,"The medical community, however, counts traumatic experiences as risk factors for intellectual disability"
undermine,undermine,criminal_triples/case_11.txt,prospect,undermine,values,"The Court has warned that ""the prospect of collateral challenges"" threatens to undermine these important values"
undermined,undermined,criminal_triples/case_13.txt,nothing,undermined,determination,"The District Court deferred to that credibility determination, and nothing in Pena-Rodriguez undermined that determination"
undermining,undermining,criminal_triples/case_12.txt,periods,undermining,its penological rationale,And we may well have to consider the ways in which lengthy periods of imprisonment between death sentence and execution can deepen the cruelty of the death penalty while at the same time undermining its penological rationale
