(October 15 2014, Decided at_time, January 14 2015)
(writ, justify, federal review of state proceedings for constitutional violations)
(writ today, justify, broad review)
(writ, justify, broad review of state proceedings)
(writ, justify, broad review of state criminal proceedings for violations)
(writ today, justify, federal review of state proceedings for constitutional violations)
(writ, justify, review of state criminal proceedings)
(writ today, justify, broad federal review of state proceedings for constitutional violations)
(writ, justify, federal review of state proceedings)
(writ, justify, federal review of state criminal proceedings for violations)
(writ, justify, broad review of state proceedings for violations)
(writ today, justify, federal review of state proceedings for violations)
(writ today, justify, broad review of state criminal proceedings)
(writ today, justify, review of state proceedings for violations)
(writ today, justify, broad review of state criminal proceedings for violations)
(writ, justify, federal review)
(writ today, justify, federal review of state criminal proceedings for constitutional violations)
(writ today, justify, review of state proceedings for constitutional violations)
(writ, justify, review of state proceedings)
(writ today, justify, federal review of state proceedings)
(writ, justify, federal review of state criminal proceedings)
(writ today, justify, broad federal review of state criminal proceedings)
(writ, justify, broad review of state criminal proceedings for constitutional violations)
(writ, justify, federal review of state proceedings for violations)
(writ, is invoked by, contrast)
(writ, justify, review)
(writ, justify, review of state proceedings for constitutional violations)
(writ, justify, review of state proceedings for violations)
(writ, justify, broad federal review of state criminal proceedings for constitutional violations)
(writ, justify, broad review of state criminal proceedings)
(writ today, justify, broad review of state criminal proceedings for constitutional violations)
(writ today, justify, broad federal review)
(writ, justify, broad federal review of state proceedings for violations)
(writ today, justify, broad review of state proceedings for constitutional violations)
(writ today, justify, federal review of state criminal proceedings for violations)
(writ, justify, broad federal review of state criminal proceedings)
(writ, is, invoked)
(writ, justify, broad review of state proceedings for constitutional violations)
(writ today, justify, broad federal review of state criminal proceedings for violations)
(writ today, is invoked by, contrast)
(writ, justify, review of state criminal proceedings for constitutional violations)
(writ, justify, broad review)
(writ today, justify, review of state proceedings)
(writ today, justify, review of state criminal proceedings for violations)
(writ, justify, broad federal review of state proceedings for constitutional violations)
(writ today, justify, broad federal review of state criminal proceedings for constitutional violations)
(writ today, justify, broad federal review of state proceedings)
(writ, justify, broad federal review of state criminal proceedings for violations)
(writ today, justify, review)
(writ today, justify, review of state criminal proceedings)
(writ today, justify, review of state criminal proceedings for constitutional violations)
(writ, justify, federal review of state criminal proceedings for constitutional violations)
(writ today, is, invoked)
(writ today, justify, federal review of state criminal proceedings)
(writ, justify, broad federal review)
(district court, issues, writ)
(it, offering, choice between immediate release within defined period of time)
(it, usually enters, conditional-release order)
(it, offering, choice between release within defined period of time)
(it, offering, State)
(it, offering, choice)
(it, offering, choice between release)
(it, offering, choice between immediate release)
(it, offering, choice between immediate release within period of time)
(it, offering, choice between immediate release within period)
(it, offering, choice between immediate release within defined period)
(it, offering, choice between release within period of time)
(it, offering, choice between release within period)
(it, offering, choice between release within defined period)
(it, enters, conditional-release order)
(purpose, afford, State)
(we, have treated conditional-release order Since, its inception over century ago)
(we, have treated, conditional-release order)
(we, entitling, habeas petitioner)
(we, have treated conditional-release order Since, its inception)
(we, have treated conditional-release order Since, its inception ago)
(we, entitling habeas petitioner to, new proceeding)
(we, entitling habeas petitioner to, proceeding)
(we, have treated conditional-release order Since, its inception over century)
(Court, ordered, delay)
(judgment, was, rendered)
(defects, be, corrected)
(Court, ordered, delay of discharge)
(Court, delay of, discharge)
(its power, control, form of judgment)
(delay, allow, taken)
(its power, control form, entered in cases)
(its power, control, form)
(complaint, is in, judgment)
(delay, allow, prisoner)
(judgment, was, where rendered)
(prisoner, be, taken)
(its power, control form, entered)
(ALITO, grant of, relief)
(understanding, has prevailed in, line)
(understanding, has prevailed in, unbroken line)
(understanding, has prevailed in, line of precedent)
(understanding, has prevailed in, unbroken line of precedent)
(86, at Dotson is, supra)
(conditional writ, only delay, release)
(conditional writ, delay, release)
(writ, delay, release)
(writ, only delay, release)
(State, cure, specific violation identified by district court)
(State, cure, specific constitutional violation)
(State, cure, violation identified by district court)
(State, cure, specific constitutional violation identified)
(State, cure, specific violation identified)
(State, cure, violation)
(State, cure, constitutional violation identified by district court)
(State, cure, constitutional violation)
(State, cure, violation identified)
(State, cure, specific constitutional violation identified by district court)
(State, cure, constitutional violation identified)
(State, cure, specific violation)
(habeas petitioner, is, entitled)
(habeas petitioner, is entitled, release)
(sentencing proceeding, was, unconstitutional)
(he, is therefore actually entitled, release)
(his conviction, was, unconstitutional)
(he, is actually entitled, release)
(he, is, therefore entitled)
(he, is, entitled)
(he, is, therefore actually entitled)
(he, is therefore entitled, release)
(he, is, actually entitled)
(he, is entitled, release)
(86, at Dotson is, 544 U. S.)
(time, replace judgment with, valid one)
(time, replace, invalid judgment)
(time, replace, judgment)
(they, fail, do)
(habeas courts, give, States)
(they, fail, do so)
(entitlement, is, tied)
(entitlement, is tied to, violation identified)
(entitlement, is tied to, constitutional violation identified by Court)
(entitlement, is tied to, constitutional violation identified)
(entitlement, is tied to, constitutional violation)
(entitlement, is tied to, violation identified by Court)
(entitlement, is tied to, violation)
(State, release habeas petitioner under, old order)
(339, at Magwood is, supra)
(habeas petitioner, has, rights under conditional-release order)
(habeas petitioner 's rights, are, defined)
(habeas petitioner 's rights, are, thus defined)
(Pitchess, S. per, curiam)
(curiam, per S. is, 1975)
(Davis, makes, clear)
(prosecutor, disclose, exculpatory laboratory report)
(prosecutor, disclose, material)
(prosecutor, disclose, laboratory report)
(State, retry, him)
(prisoner, has, motion convert into unconditional order)
(Court, granted, certiorari)
(conditional-release order, provided, should released)
(conditional-release order, provided, only should released)
(State, retry, him)
(prisoner, should, should released)
(prisoner, should, only should released)
(State, provid respondent with, laboratory report)
(State, provid, respondent)
(483, at Davis is, 421 U. S.)
(District Court, use, its destruction)
(Court, allow, District Court)
(order, separate issue of, physical evidence)
(decision, considered in, light of principles of relief)
(decision, considered in, light of traditional principles)
(decision, considered in, light)
(decision, considered in, light of principles)
(decision, considered in, light of traditional principles of relief)
(decision, makes, sense)
(decision, considered in, light of principles of equitable relief)
(decision, considered in, light of traditional principles of equitable relief)
(they, are, when consistent)
(AEDPA, after, enactment)
(principles, remain, relevant)
(Such principles, remain, relevant)
(they, are, consistent)
(remedy, be, limited)
(equitable remedy, be, limited)
(490, at Davis is, 421 U. S.)
(order, has, entry in first place)
(order 's entry, is in, first place)
(traditional principles, resolve, dispute at issue)
(history, resolve, dispute)
(principles, resolve, dispute at issue here)
(history, resolve, dispute at issue)
(traditional principles, resolve, dispute)
(treatment, resolve, dispute at issue here)
(treatment, resolve, dispute at issue)
(principles, resolve, dispute)
(principles, resolve, dispute at issue)
(history, resolve, dispute at issue here)
(traditional principles, resolve, dispute at issue here)
(treatment, resolve, dispute)
(habeas petitioner, awarded, conditional-release order)
(prisoner, has, rights flowing from order)
(judgment, should, Given principles should affirmed)
(judgment, should, should affirmed)
(Jennings, prevailed on, two theories of ineffective assistance)
(Jennings, lost on, another)
(Jennings, prevailed on, two theories of assistance of counsel)
(Jennings, prevailed on, two theories)
(Jennings, prevailed on, two theories of ineffective assistance of counsel)
(Jennings, prevailed in, District Court)
(Jennings, prevailed on, two theories of assistance)
(State, release, Jennings)
(it, granted, Jennings sentencing hearing)
(it, granted, Jennings new sentencing hearing within 120 days)
(it, granted, Jennings sentencing hearing within 120 days)
(it, granted, Jennings new sentencing hearing)
(State, release Jennings, it granted)
(District Court, entered, conditional-release order)
(Jennings, commuted, his sentence)
(Court, Under, precedents)
(State, has, failure comply with order)
(he, alter, instruction)
(Jennings, expand, his rights)
(he, could obtain, immediate release)
(he, could obtain, release)
(he, alter instruction to, State)
(he, obtain, COA)
(it, divines, intuitive answer to question)
(it, divines, intuitive answer to question presented at 5 from law of judgments)
(it, divines, intuitive answer at 5 from law of judgments)
(it, Instead divines, answer to question from law)
(it, Instead divines, answer to question at 5)
(it, Instead divines, answer to question presented from law)
(it, divines, ante)
(it, Instead divines, answer to question presented from law of judgments)
(it, divines, answer at 5 from law of judgments)
(it, divines, intuitive answer to question presented from law)
(it, divines, intuitive answer at 5)
(it, Instead divines, intuitive answer from law)
(it, Instead divines, intuitive answer to question presented at 5)
(it, divines, intuitive answer to question at 5 from law of judgments)
(it, divines, answer to question at 5 from law)
(law, from answer is, ante)
(it, Instead divines, intuitive answer)
(5, at answer is, ante)
(it, Instead divines, intuitive answer to question from law of judgments)
(it, Instead divines, intuitive answer to question)
(it, divines, answer to question at 5 from law of judgments)
(it, Instead divines, answer at 5)
(it, divines, answer)
(it, divines, intuitive answer from law of judgments)
(it, Instead divines, answer to question presented at 5 from law)
(it, Instead divines, intuitive answer to question presented from law of judgments)
(it, Instead divines, answer to question from law of judgments)
(it, Instead divines, answer to question)
(it, Instead divines, answer at 5 from law of judgments)
(it, divines, answer to question at 5)
(it, divines, intuitive answer to question presented from law of judgments)
(it, Instead divines, answer to question presented at 5)
(it, divines, intuitive answer to question presented)
(it, divines, answer to question)
(it, Instead divines, intuitive answer at 5 from law of judgments)
(it, Instead divines, intuitive answer to question presented from law)
(it, divines, answer to question presented at 5 from law)
(it, Instead divines, answer at 5 from law)
(it, divines, answer to question presented at 5 from law of judgments)
(it, Instead divines, intuitive answer to question presented at 5 from law)
(it, Instead divines, intuitive answer at 5 from law)
(it, divines, intuitive answer to question from law of judgments)
(it, Instead divines, intuitive answer to question at 5)
(it, divines, answer to question presented from law)
(it, Instead divines, intuitive answer from law of judgments)
(it, divines, intuitive answer from law)
(it, Instead divines, answer from law of judgments)
(it, divines, intuitive answer)
(it, divines, answer to question presented at 5)
(it, divines, intuitive answer at 5 from law)
(it, divines, answer to question from law of judgments)
(it, Instead divines, answer to question presented at 5 from law of judgments)
(it, divines, intuitive answer to question presented at 5)
(it, Instead divines, intuitive answer at 5)
(it, Instead divines, intuitive answer to question presented)
(it, divines, answer to question presented)
(it, divines, intuitive answer to question at 5 from law)
(it, divines, answer to question from law)
(it, divines, answer to question presented from law of judgments)
(it, divines, answer at 5)
(it, divines, intuitive answer to question at 5)
(it, divines, answer at 5 from law)
(question, to answer is, ante)
(it, divines, answer from law of judgments)
(it, Instead divines, intuitive answer to question presented at 5 from law of judgments)
(it, Instead divines, intuitive answer to question from law)
(it, Instead divines, intuitive answer to question at 5 from law of judgments)
(it, divines, intuitive answer to question presented at 5 from law)
(it, Instead divines, answer to question at 5 from law of judgments)
(it, Instead divines, intuitive answer to question at 5 from law)
(it, Instead divines, answer to question at 5 from law)
(it, Instead divines, answer)
(it, Instead divines, answer from law)
(it, divines, intuitive answer to question from law)
(it, Instead divines, ante)
(it, divines, answer from law)
(it, Instead divines, answer to question presented)
(major-ity 's position, is at, odds with law)
(it, purports, rely)
(major-ity 's position, is at, odds)
(odds, is with, law of judgments)
(major-ity 's position, is at, fundamentally odds)
(major-ity, has, position)
(major-ity 's position, is at, fundamentally odds with law)
(cross-appeal rule, applies in, given case)
(cross-appeal rule, applies in, case)
(one, understand, rights)
(one, understand rights, understand)
(majority, refuses, look past language of conditional-release order)
(majority, refuses, look)
(majority, look past, language)
(majority, look past, language of conditional-release order)
(majority, refuses, look past language)
(it, is, true)
(it, is, similarly true)
(rights, are rights, flow from other civil judgment)
(rights, are same rights, flow from other civil judgment)
(majority, answering, question)
(habeas petitioner, from, judgment)
(assertion, ignores, unique context)
(assertion, ignores, context)
(writ, was historically mechanism, explained above)
(writ, was, historically purely procedural mechanism)
(writ, was purely procedural mechanism, explained)
(habeas corpus, writ of was, historically procedural mechanism)
(writ, was, purely procedural mechanism)
(writ, was historically procedural mechanism, explained)
(court, has, determination as legality of confinement)
(writ, was, historically procedural mechanism)
(writ, was, mechanism)
(writ, was historically procedural mechanism, explained above)
(habeas corpus, writ of was, mechanism)
(writ, was, procedural mechanism)
(writ, was procedural mechanism, explained above)
(writ, was historically purely procedural mechanism, explained above)
(writ, was mechanism, explained above)
(habeas corpus, writ of was, purely procedural mechanism)
(prisoner, of, confinement)
(writ, was historically mechanism, explained)
(writ, was purely procedural mechanism, explained above)
(habeas corpus, writ of was, procedural mechanism)
(habeas corpus, writ of was, historically purely procedural mechanism)
(writ, was procedural mechanism, explained)
(writ, was historically purely procedural mechanism, explained)
(writ, was, historically mechanism)
(writ, was mechanism, explained)
(writ, was, procedural)
(habeas corpus, writ of was, historically mechanism)
(it, misapplies law, Even correct)
(majority, were, Even correct)
(law, be, imported)
(law, be imported to, habeas context)
(law, be, simply imported)
(majority, were, correct)
(it, misapplies, law)
(it, misapplies law, correct)
(law, simply be imported to, habeas context)
(parties, have, rights under civil judgments)
(parties, have rights Under, recognized principles including doctrine)
(parties, have, greater rights)
(parties, have rights Under, principles)
(parties, have rights Under, long principles including doctrine)
(parties, have rights Under, principles including doctrine of preclusion)
(parties, have rights Under, principles including doctrine)
(parties, have, greater rights under civil judgments)
(parties, have rights Under, long recognized principles)
(parties, have rights Under, recognized principles)
(parties, have rights Under, long principles)
(parties, have, greater rights under judgments)
(parties, have, rights)
(parties, have, rights under judgments)
(parties, have rights Under, long principles including doctrine of preclusion)
(parties, have rights Under, long recognized principles including doctrine of preclusion)
(parties, have rights Under, long recognized principles including doctrine)
(parties, have rights Under, recognized principles including doctrine of preclusion)
(prevailing plaintiff 's claims, are, wholly merged)
(plaintiff 's claims, are merged into, his judgment)
(plaintiff 's claims, are, merged)
(prevailing plaintiff 's claims, preventing, defendant)
(prevailing plaintiff 's claims, are wholly merged into, his judgment)
(plaintiff 's claims, are wholly merged into, his judgment)
(prevailing plaintiff 's claims, are merged into, his judgment)
(prevailing plaintiff, has, claims)
(court, in, first adjudication of claims)
(plaintiff 's claims, are, wholly merged)
(prevailing plaintiff 's claims, are, merged)
(plaintiff 's claims, preventing, defendant)
(Judgments § 18, of Restatement is, Second)
(defendant, can rely upon, judgment)
(action, is in, future)
(defendant, can rely as, adjudication)
(defendant, can rely as, final adjudication of claim)
(defendant, can rely as, adjudication of particular claim)
(defendant, can rely as, adjudication of claim)
(defendant, preventing, plaintiff)
(defendant, can rely as, final adjudication)
(defendant, can rely as, final adjudication of particular claim)
(principles, give, rights)
(principles, give rights to, parties beyond remedy)
(principles, give rights to, parties)
(principles, give rights to, parties beyond remedy ordered)
(majority, disregards, principles)
(majority, disregards principles By, narrowly)
(majority, disregards, basic principles)
(majority, apply, law of judgments)
(majority, apply, general law of judgments)
(its decision, will do, damage well)
(majority, apply, law)
(its decision, will do, damage)
(majority, apply, general law)
(Congress, passed, AEDPA)
(majority 's opinion, invites appeals In, habeas context specifically)
(majority, has, opinion)
(majority 's opinion, invites, same frivolous appeals)
(majority 's opinion, invites, appeals)
(majority 's opinion, invites, frivolous appeals)
(majority 's opinion, invites appeals In, habeas context)
(Congress, passed AEDPA, prevent)
(majority 's opinion, invites, same appeals)
(AEDPA, narrowed access, courts had relied on certificate)
(AEDPA, further narrowed, access to appeals with creation)
(such appeals, is with, creation of COA requirement)
(AEDPA, further narrowed access, courts had long relied)
(courts, had long relied on, certificate)
(AEDPA, narrowed, access to such appeals)
(AEDPA, narrowed, access to appeals with creation)
(AEDPA, further narrowed, access to appeals with creation of COA requirement)
(AEDPA, narrowed access, courts had long relied on certificate of probable cause)
(AEDPA, further narrowed access, courts had relied)
(courts, had relied on, certificate)
(AEDPA, further narrowed access, courts had relied on certificate)
(AEDPA, narrowed, access to appeals with creation of COA requirement)
(AEDPA, further narrowed, access to appeals)
(AEDPA, narrowed access, courts had long relied on certificate)
(AEDPA, narrowed access, courts had relied on certificate of probable cause)
(AEDPA, narrowed, access to appeals)
(courts, had long relied on, certificate of probable cause)
(AEDPA, further narrowed access, courts had long relied on certificate)
(courts, had relied on, certificate of probable cause)
(AEDPA, narrowed access, courts had relied)
(AEDPA, narrowed access, courts had long relied)
(AEDPA, further narrowed, access to such appeals)
(AEDPA, further narrowed access, courts had relied on certificate of probable cause)
(frivolous appeals, is in, habeas cases)
(AEDPA, further narrowed access, courts had long relied on certificate of probable cause)
(AEDPA, narrowed, access)
(AEDPA, further narrowed, access)
(requirement, serves, gatekeeping function)
(requirement, serves, important gatekeeping function)
(majority, has, decision)
(prisoners, pursue, alternative allegation)
(I, see, little reason suspect)
(I, see, reason suspect)
(prevailing ha-beas petitioner, has, alternative grounds for affirmance)
(COA, grounds for, affirmance)
(COA, grounds 's, prevailing ha-beas petitioner)
(experience, is with, conduct)
(majority, approved, it)
(experience, is, likely)
(experience, is, only likely)
(habeas petitioners, raise claims as, alternative grounds)
(habeas petitioners, raise claims as, grounds)
(habeas petitioners, raise claims as, grounds for affirmance)
(habeas petitioners, raise, claims)
(habeas petitioners, raise, rejected claims)
(United States Court, prevailing, habeas petitioners)
(habeas petitioners, raise claims as, alternative grounds for affirmance)
(majority, overlooks, significant procedural distinction between application for COA)
(majority, overlooks, procedural distinction)
(majority, also overlooks, distinction)
(majority, overlooks, procedural distinction between application)
(majority, also overlooks, significant procedural distinction between application)
(majority, also overlooks, significant distinction between application for COA)
(majority, also overlooks, significant distinction between application)
(majority, overlooks, significant procedural distinction)
(majority, overlooks, distinction)
(majority, also overlooks, procedural distinction between application for COA)
(majority, also overlooks, significant procedural distinction between application for COA)
(majority, also overlooks, procedural distinction between application)
(majority, also overlooks, distinction between application for COA)
(majority, overlooks, procedural distinction between application for COA)
(majority, also overlooks, significant distinction)
(majority, also overlooks, procedural distinction)
(majority, overlooks, significant procedural distinction between application)
(majority, also overlooks, distinction between application)
(majority, also overlooks, significant procedural distinction)
(majority, overlooks, significant distinction between application for COA)
(majority, overlooks, significant distinction)
(majority, overlooks, significant distinction between application)
(majority, overlooks, distinction between application for COA)
(majority, overlooks, distinction between application)
(COA, can, can decided by court)
(COA, can, can decided by single court)
(merits appeal, must, must heard)
(COA, can, can decided)
(COA, can, can decided by single court of appeals judge)
(merits appeal, must, must heard by three-judge panel)
(merits appeal, must, must heard by panel)
(COA, can, can decided by court of appeals judge)
(today, has, ruling triples)
(two additional judges, is in, adjudication of claims)
(AEDPA 's purpose, reduc, delays)
(AEDPA 's purpose, reduc, delays in execution of state sentences)
(AEDPA 's purpose, reduc, delays in execution)
(delays, is in, execution of state criminal sentences)
(AEDPA, has, purpose)
(AEDPA 's purpose, reduc, delays in execution of state criminal sentences)
(AEDPA, encourages, finality)
(habeas petitioners, obtain, COAs)
(majority 's decision, undermines, that)
(majority, has, decision)
