(October 4 2017, Decided at_time, February 21 2018)
(first question, is, determining)
(plea, prevents defendant in, court)
(plea, prevents, defendant)
(plea, raising, particular issue)
(plea, raising issue on, appeal)
(plea, prevents defendant in, federal court)
(plea, raising, issue)
(Federal Constitution, precludes, waiver)
(defendant, plea of, guilty)
(law, bars, waiver)
(other law, nevertheless bars, waiver)
(other law, bars, waiver)
(Federal Constitution, permits, waiver)
(law, nevertheless bars, waiver)
(Petitioner Rodney Class, was, charged)
(he, entering, plea)
(he, appealed, his conviction)
(he, entering, unconditional guilty plea)
(he, entering, unconditional plea)
(he, entering, guilty plea)
(Court, affirmed, his conviction)
(he, entered, his unconditional plea)
(he, entered, his plea)
(I, Analyzing case under, framework)
(I, Analyzing, case)
(most personal constitutional rights, be, waived)
(personal constitutional rights, be, waived)
(it, waives, nonjurisdictional claims)
(Rule 11, makes On, contrary)
(government, conditional plea of, contendere)
(government, plea of, guilty contendere)
(government, plea of, contendere)
(government, conditional plea of, guilty contendere)
(intent, is in, absence of evidence of contrary)
(unconditional plea, constitutes, waiver of nonjurisdictional defects)
(unconditional plea, is with, previously mentioned exception)
(Advisory Committee, has, Notes on Rule 11)
(plea, constitutes, waiver of nonjurisdictional defects)
(rule, was, especially when as here enacted)
(Advisory Committee 's Notes, provide, source of insight into meaning of rule)
(rule, was, when as here enacted)
(rule, was enacted, Advisory Committee proposed)
(rule, was enacted precisely, Advisory Committee proposed)
(rule, was, especially when as here enacted precisely)
(rule, was, when as here enacted precisely)
(Advisory Committee 's Notes, provide, source of insight into meaning)
(rule, was, enacted precisely)
(Advisory Committee 's Notes, provide, source of insight)
(Advisory Committee 's Notes, provide, reliable source of insight into meaning)
(Advisory Committee 's Notes, provide, reliable source)
(Advisory Committee 's Notes, provide, reliable source of insight into meaning of rule)
(Advisory Committee 's Notes, provide, source)
(Advisory Committee 's Notes, provide, reliable source of insight)
(rule, was, especially when enacted)
(rule, was, enacted)
(rule, was enacted as, here)
(Advisory Committee, has, Notes on federal rule of procedure)
(rule, was, when enacted precisely)
(rule, was, especially when enacted precisely)
(rule, was enacted precisely as, here)
(rule, was, when enacted)
(plea, relinquishes, defenses)
(plea, generally relinquishes defenses to, conviction)
(plea, generally relinquishes, defenses)
(United States, was, adopted)
(plea, relinquishes defenses to, conviction)
(raising, prohibiting, waiver of claims)
(raising, prohibiting, waiver)
(raising, prohibiting, waiver of nonjurisdictional claims)
(I, proceed to, final question)
(I, will skip For, now)
(I, proceed to, question)
(I, will skip over, exception)
(I, turn to, one exception mentioned in Advisory Committee 's Notes on Rule 11)
(Advisory Committee, in, Notes on Rule 11)
(I, now turn to, one exception mentioned in Advisory Committee 's Notes on Rule 11)
(I, turn to, one exception mentioned)
(I, now turn to, one exception mentioned in Advisory Committee 's Notes)
(I, now turn to, one exception mentioned)
(I, turn to, one exception mentioned in Advisory Committee 's Notes)
(I, now turn to, one exception)
(I, turn to, one exception)
(Advisory Committee, has, Notes at 912)
(Advisory Committee, 's Notes is, 18 U. S. C. App.)
(912, at Notes is, 18 U. S. C. App.)
(doctrine, consists of, thinly reasoned decision)
(doctrine, consists of, reasoned decision)
(per decision, issued, year)
(decision, issued, year)
(decision, issued, next year)
(doctrine, consists of, decision)
(curiam, per S. is, 1975)
(per decision, issued, next year)
(doctrine, consists of, Blackledge)
(New York, v. Menna is, per decision issued next year)
(defendant, even entered, plea)
(defendant, entered, unconditional guilty plea)
(defendant, even entered, unconditional guilty plea)
(defendant, entered, unconditional plea)
(defendant, even entered, guilty plea)
(defendant, entered, plea)
(defendant, even entered, unconditional plea)
(defendant, entered, guilty plea)
(Advisory Committee, has, Notes on Rule 11)
(constitutional right, rule of, procedure)
(Advisory Committee, has, Notes at 912)
(Advisory Committee, 's Notes is, 18 U. S. C. App.)
(912, at Notes is, 18 U. S. C. App.)
(doctrine, is, only exception)
(doctrine, is, exception recognized in Rule 11)
(it, is important, exception recognized)
(it, is important, exception recognized in Rule 11)
(doctrine, figures in, prominently opinion of Court)
(it, examine, its foundation)
(it, is, important)
(doctrine, recognized in, Rule 11)
(doctrine, is, only exception recognized in Rule 11)
(doctrine, is, exception recognized)
(it, is important, only exception recognized)
(doctrine, is, exception)
(doctrine, figures in, opinion)
(it, examine, meaning)
(doctrine figures, is in, prominently opinion of Court)
(it, is important, only exception recognized in Rule 11)
(doctrine, is, only exception recognized)
(it, is important, exception)
(it, is important, only exception)
(doctrine, figures in, prominently opinion)
(doctrine, figures in, opinion of Court)
(Blackledge, represented, departures from our decisions)
(Blackledge, represented, marked departures from our decisions)
(Menna, represented, marked departures)
(Blackledge, represented, marked departures from our prior decisions)
(Blackledge, represented, departures)
(Blackledge, represented, marked departures)
(Menna, represented, departures from our prior decisions)
(Menna, represented, departures from our decisions)
(Menna, represented, marked departures from our prior decisions)
(Blackledge, represented, departures from our prior decisions)
(Menna, represented, marked departures from our decisions)
(Menna, represented, departures)
(defendant, pleaded, guilty to crime)
(prosecution, could assert, forfeiture)
(prosecution, defeat, appeal)
(prosecution, defeat, subsequent appeal)
(defendant, pleaded, guilty)
(theory, was, easy)
(our view, was, we explained)
(our view, was, we explained in Tollett)
(guilty plea, break in, chain)
(guilty plea, represents, break)
(plea, represents, break)
(guilty plea, represents, break in chain)
(break, is in, chain of events)
(plea, break in, chain)
(we, explained in, Tollett)
(plea, represents, break in chain)
(he, pursued, s)
(he, plea in, abatement)
(he, constitutional plea in, abatement)
(he, plea pursued on, appeal)
(defendant, has, decision plead)
(he, plea pursued at, trial)
(he, pursued, plea in abatement)
(constitutional plea, is in, abatement)
(he, pursued, plea)
(he, pursued, constitutional plea in abatement)
(abatement, in plea is, s)
(he, pursued, constitutional plea)
(plea, comprises, concessions)
(Guilty pleas, were, understood)
(guilty plea, comprises, concessions)
(plea, comprises, factual concessions)
(pleas, have, effect)
(Guilty pleas, have, effect)
(pleas, were, understood)
(guilty plea, comprises, factual concessions)
(we, had enunciated at_time, many times before)
(we, had enunciated at_time, times before)
(it, is, defendant 's consent)
(774, at McMann is, 397 U. S.)
(judgment, be, entered)
(defendant, has, consent)
(we, put, it)
(we, held, that)
(266, at Tollett is, supra)
(prosecution, coerced, his confession)
(confession, was, evidence)
(only evidence, supporting, conviction)
(confession, was, even evidence)
(prosecution, unlawfully coerced, his confession)
(confession, was, even only evidence)
(evidence, supporting, conviction)
(confession, was, only evidence)
(confession, supporting, conviction)
(768, at McMann is, supra)
(796-797, at Parker is, supra)
(he, could assert, that)
(756-757, at Brady is, supra)
(layman, should expect, plea of guilty)
(layman, should expect, plea)
(then-Judge Burger, Reflecting, our thinking)
(then-Judge Burger, Reflecting, our general thinking)
(Burger, Reflecting, our thinking)
(Burger, Reflecting, our general thinking)
(layman, plea of, guilty)
(such, is, law)
(A. Bishop, Waivers in, Pleas of Guilty)
(Waivers, is in, Pleas of Guilty)
(his right, was, violated)
(his right, was violated by, vindictive prosecution)
(his right, was violated by, prosecution)
(Court, held In, Blackledge)
(stake, is in, Tollett)
(meaning, is, hard)
(meaning, is, however hard)
(court, has, jurisdiction)
(Blackledge, has, reference to very power of State)
(we, refer to, power adjudicate)
(defendant, had, First had tried)
(defendant, is in, Blackledge)
(defects, survive, plea)
(defects, survive, guilty plea)
(.3 Second, result in, Blackledge itself)
(jurisdictional defects, survive, plea)
(state court, is in, North Carolina)
(defendant, had, had tried)
(jurisdictional defects, survive, guilty plea)
(court, has, subject-matter jurisdiction)
(Arguments, attacking, court 's jurisdiction)
(Arguments, can, can waived)
(Arguments, attacking, court 's subject-matter jurisdiction)
(Arguments, can, can neither waived)
(Corrections, of Dept. is, 524 U. S. 381 389 1998)
(process right, was, capable)
(due process right, was, capable)
(process right, was, perfectly capable)
(issue, is in, Blackledge)
(due process right, was, perfectly capable)
(936-937, at Peretz is, 501 U. S.)
(defendant, litigate, claim)
(it, mean, opposed)
(violation, Even requires, dismissal of indictment)
(violation, Even requires, dismissal)
(violation, requires, dismissal)
(violation, requires, dismissal of indictment)
(constitutional violation, requires, dismissal of indictment)
(constitutional violation, Even requires, dismissal of indictment)
(constitutional violation, requires, dismissal)
(constitutional violation, Even requires, dismissal)
(rule, could, could otherwise)
(rule, could, could hardly otherwise)
(remedial consequence, converted, them)
(consequence, converted, them)
(It, is, true)
(It, defining, scope)
(It, defining, scope of collateral order doctrine)
(we, spoken of, distinction)
(265-267, at E.g. is, supra)
(defendants, is in, federal criminal cases)
(right, is, properly understood)
(defendants, take, immediate appeal)
(defendants, take, appeal)
(right, is, when understood)
(we, have allowed, defendants in federal cases)
(we, have allowed, defendants)
(right, is, when properly understood)
(defendants, take appeal from, denial)
(we, have allowed, defendants in cases)
(defendants, take appeal from, denial of motion)
(we, have allowed, defendants in federal criminal cases)
(right, is, understood)
(we, have allowed, defendants in criminal cases)
(interlocutory appeal, is in, situation)
(it, prolongs litigation On, contrary)
(it, prolongs, litigation)
(distinction, drawn in, our collateral order cases)
(distinction, So drawn in, our collateral order cases)
(decision, is in, Blackledge)
(curiam, per Co. is, 458 U. S. 263 264 1982)
(rejecting, challenge, defendant violated)
(rejecting, constitutional challenge, defendant violated)
(we, defendant, appeal)
(rejecting, constitutional challenge, defendant allegedly violated)
(rejecting, challenge, defendant allegedly violated)
(we, have repudiated, very suggestion)
(we, have repudiated suggestion In, fact)
(we, have repudiated, suggestion)
(Menna, may, may worse)
(thinking, is, hard)
(Court, held In, case)
(case, was decided by, a)
(case, was decided by, a three-page)
(case, was, decided)
(case, was decided by, a three-page per curiam opinion)
(elucidating, substituted, different rationale)
(elucidating, substituted, rationale)
(footnote, substituted, rationale)
(footnote, substituted, different rationale)
(cases, appellate review of, double jeopardy claim)
(prior related cases, appellate review of, double jeopardy claim)
(other prior related cases, appellate review of, double jeopardy claim)
(other related cases, appellate review of, double jeopardy claim)
(other cases, appellate review of, double jeopardy claim)
(related cases, appellate review of, double jeopardy claim)
(other prior cases, appellate review of, double jeopardy claim)
(prior cases, appellate review of, double jeopardy claim)
(plea, is, admission so reliable)
(plea, is admission of, guilt)
(plea, is admission reliable of, guilt)
(plea, is, admission)
(plea, is admission so reliable of, guilt)
(plea, is, admission reliable)
(plea, is, reliable)
(factual guilt, is sufficient basis In, cases)
(guilt, is, In most cases sufficient basis for State 's imposition)
(factual guilt, is, In cases sufficient basis for State 's imposition of punishment)
(guilt, is sufficient basis In, most cases)
(factual guilt, is, In most cases basis for State 's imposition of punishment)
(guilt, is, sufficient)
(factual guilt, is, In most cases sufficient basis for State 's imposition)
(factual guilt, is sufficient basis In, most cases)
(factual guilt, is basis In, most cases)
(guilt, is, In most cases sufficient basis for State 's imposition of punishment)
(guilt, is basis In, cases)
(guilt, is sufficient basis In, cases)
(guilt, is, In cases sufficient basis for State 's imposition of punishment)
(factual guilt, is basis In, cases)
(factual guilt, is, In cases basis for State 's imposition)
(factual guilt, is, In cases basis for State 's imposition of punishment)
(guilt, is, In cases basis for State 's imposition)
(sufficient basis, is In, most cases)
(State, for, imposition of punishment)
(factual guilt, is, In cases sufficient basis for State 's imposition)
(factual guilt, is, In most cases basis for State 's imposition)
(guilt, is, In cases basis for State 's imposition of punishment)
(guilt, is, In most cases basis for State 's imposition)
(factual guilt, is, In most cases sufficient basis for State 's imposition of punishment)
(guilt, is, In cases sufficient basis for State 's imposition)
(guilt, is basis In, most cases)
(guilt, is, In most cases basis for State 's imposition of punishment)
(62-63, at Menna is, 423 U. S.)
(he, committed, essential conduct)
(he, committed, essential conduct charged)
(he, committed, conduct charged in indictment)
(guilty plea, allows, litigation)
(Court, has, reasoning)
(he, committed, conduct)
(he, committed, conduct charged)
(plea, allows, litigation)
(I, interpret, Court 's reasoning)
(he, committed, essential conduct charged in indictment)
(Court, said about, effect of plea)
(Court, previously said about, effect)
(Court, previously said about, effect of plea)
(Court, previously said about, effect of guilty plea)
(Court, said about, effect)
(Court, said about, effect of guilty plea)
(it, is, itself)
(its meaning, is, unclear)
(its meaning, is unclear, Court meant)
(its meaning, is unclear, Court meant less)
(Court, returned in, United States)
(Court, returned to, Blackledge)
(Broce, involved, two defendants)
(their guilty pleas, prevented, them)
(Court, however held at_time, time)
(their pleas, prevented, them)
(their pleas, litigating, their claims)
(their guilty pleas, litigating, their claims)
(Court, held at_time, time)
(plea, admits, only factual guilt)
(Court, meaning, acts described)
(plea, admits, factual guilt)
(guilty plea, admits, only factual guilt)
(Court, meaning, acts)
(Court, meaning, acts described in indictments)
(guilty plea, admits, only guilt)
(Menna, has, suggestion)
(plea, admits, guilt)
(plea, admits, only guilt)
(Court, specifically disavowing, Menna 's suggestion)
(guilty plea, admits, guilt)
(guilty plea, admits, factual guilt)
(Court, disavowing, Menna 's suggestion)
(568-569, at Broce is, 488 U. S.)
(plea, judgment of, guilt)
(unconditional plea, judgment of, guilt)
(unconditional guilty plea, judgment of, guilt)
(guilty plea, final judgment of, guilt)
(plea, final judgment of, guilt)
(unconditional plea, final judgment of, guilt)
(unconditional guilty plea, final judgment of, guilt)
(guilty plea, judgment of, guilt)
(he, is admitting, guilt)
(he, guilt of, substantive crime)
(he, is admitting, guilt of crime)
(accused, entering, plea of guilty)
(accused, entering, plea)
(he, guilt of, crime)
(he, is admitting, guilt of substantive crime)
(Court, invoking, Tollett)
(defendant, constitutional significance of, certain historical facts)
(defendant, constitutional significance of, facts)
(defendant, constitutional significance of, historical facts)
(defendant, significance of, certain facts)
(defendant, significance of, historical facts)
(defendant, significance of, certain historical facts)
(defendant, significance of, facts)
(defendant, constitutional significance of, certain facts)
(defendant, has, decision plead)
(Broce, rejected, reasoning in Blackledge)
(Court, distinguish cases on, ground)
(reasoning, is in, Blackledge)
(defendants, present, new evidence)
(Court, was, content)
(Broce, thus rejected, reasoning)
(Broce, reasoning in, Blackledge)
(Broce, thus rejected, reasoning in Blackledge)
(defendants, present, evidence)
(Broce, rejected, reasoning)
(Court, was content, defendants would have)
(defendants, is in, Broce)
(Court, distinguish, cases)
(575.4, at Broce is, supra)
(we, heard, case)
(Court, sows confusion, reiterating)
(Court, Now sows, new confusion)
(Court, clarifying, law)
(Court, Now sows, confusion)
(Court, sows, new confusion)
(Court, sows, confusion)
(Court, Now sows confusion, reiterating)
(it, prosecute, defendant)
(it, power of, of State)
(it, implicates, very power of State ')
(it, implicates, power)
(it, very power of, of State)
(it, implicates, very power)
(it, implicates, power of State ')
(rule, is, inconsistent)
(only arguments, waived by, guilty plea)
(rule, even is inconsistent with, Tollett)
(Court, parrots, rule)
(rule, is inconsistent with, Tollett)
(Court, also parrots, rule)
(arguments, waived by, guilty plea)
(rule, is, even inconsistent)
(arguments, waived by, plea)
(only arguments, waived by, plea)
(his prosecution, is barred by, Speedy Trial Act)
(rule, would permit, defendant)
(his prosecution, is, barred by statute by Trial Act)
(his prosecution, is, barred by statute of limitations by Trial Act)
(his prosecution, is, barred)
(his prosecution, is, barred by statute by Speedy Trial Act)
(his prosecution, is barred by, statute of limitations)
(his prosecution, is barred by, statute)
(rule, would permit defendant For, example)
(his prosecution, is, barred by statute of limitations by Speedy Trial Act)
(his prosecution, is barred by, Trial Act)
(defendant 's alleged conduct, statute of, conviction)
(defendant, has, alleged conduct)
(defendant 's conduct, statute of, conviction)
(rule, Here again would appear, permit)
(rule, permit, raised on appeal)
(rule, would appear, permit)
(rule, again would appear, permit)
(rule, permit, raised)
(charges, appear, mean)
(charges, mean, admitting)
(majority, is, coy)
(his guilty plea, is involuntary, we have held)
(his plea, is, involuntary)
(his plea, is involuntary, we have held)
(his guilty plea, is, involuntary)
(Court, Does agree with, Justice Ames)
(Approaching, question from, direction)
(Court, Approaching, question)
(Court, Approaching, question from direction)
(Approaching, question from, opposite direction)
(Court, Approaching, question from opposite direction)
(category, is, most mysterious)
(category, is, mysterious)
(scope, depends in, question)
(scope, depends on, law of particular jurisdiction)
(I, agree with, statement)
(Court, fails, acknowledge)
(scope, depends on, law of jurisdiction)
(I, agree with, statement of rule)
(scope, depends on, law)
(that, is, scope)
(that, is scope of, admissions implicit)
(that, is scope of, admissions)
(defendant, is in, federal court)
(that, is scope, told)
(that, is scope of, admissions implicit in plea)
(defendant, is, told)
(majority, seeks, refuge)
(Court, from, prior decisions)
(majority, Perhaps sensing, incoherence)
(majority, seeks refuge in, history)
(majority, Perhaps sensing, incoherence of its effort)
(majority, sensing, incoherence of its effort)
(majority, sensing, incoherence)
(defendant, of, constitutional challenge)
(decision, is irrelevant for, purposes)
(decision, is irrelevant for, present purposes)
(moment, has, glance)
(decision, is, irrelevant)
(he, be entitled to, relief)
(Government, conceded In, fact)
(his argument, had, merit)
(he, be, entitled)
(he, plead, guilty)
(Government, does argue as, as case)
(he, opted, plead)
(Commonwealth, decision of, Supreme Judicial Court)
(majority, has dusted off, 1869 decision of Supreme Judicial Court)
(majority, has dusted off, 1869 decision)
(majority, has dusted off, 1869 decision of Supreme Judicial Court of Massachusetts)
(majority, has dusted off, Hinds)
(majority, has dusted off, Commonwealth)
(guilty plea, is in, state court)
(guilty plea, is in, federal court)
(Massachusetts, can define jurisdiction like, other States)
(it, reflects, nothing)
(defendant, even pleading, guilty)
(Court, rejected, suggestion)
(court, is, deprived)
(court, is deprived of, jurisdiction)
(Court, early rejected, suggestion)
(Court, as early rejected, suggestion)
(federal court, is deprived of, jurisdiction)
(federal court, is, deprived)
(We, have repeatedly reaffirmed, proposition)
(We, have reaffirmed, proposition)
(suggestions, softening of, concept of jurisdiction)
(concept 's understood meaning, softening of, concept)
(court, lacked, jurisdiction)
(concept 's understood meaning, softening of, concept of jurisdiction)
(concept 's meaning, softening of, concept of jurisdiction)
(criminal court, lacked, jurisdiction)
(concept 's meaning, softening of, concept)
(concept, has, originally understood meaning)
(suggestions, softening of, concept)
(governing law, is, In sum Rule 11 Federal Rules of Criminal Procedure)
(law, is, Rule 11 of Federal Rules of Criminal Procedure)
(law, is, Rule 11)
(law, is, In sum Rule 11 Federal Rules of Criminal Procedure)
(governing law, is, Rule 11 of Federal Rules)
(governing law, is in, present case)
(law, is, In sum Rule 11 Federal Rules)
(governing law, is, Rule 11 of Federal Rules of Criminal Procedure)
(law, is, Rule 11 Federal Rules)
(law, is, In sum Rule 11)
(governing law, is, Rule 11)
(governing law, is, In sum Rule 11 of Federal Rules of Criminal Procedure)
(governing law, is, Rule 11 Federal Rules of Criminal Procedure)
(law, is, In sum Rule 11 of Federal Rules)
(law, is, Rule 11 Federal Rules of Criminal Procedure)
(Rule 11, is In, sum)
(governing law, is, Rule 11 Federal Rules)
(governing law, is, In sum Rule 11 Federal Rules)
(governing law, is, In sum Rule 11)
(governing law, is, In sum Rule 11 of Federal Rules)
(law, is, In sum Rule 11 of Federal Rules of Criminal Procedure)
(law, is, Rule 11 of Federal Rules)
(unconditional guilty plea, waives, nonjurisdictional claims with possible exception of Menna-Blackledge doctrine created years ago by Court)
(guilty plea, waives, nonjurisdictional claims with possible exception of Menna-Blackledge doctrine created years ago by Court)
(unconditional plea, waives, nonjurisdictional claims with possible exception of Menna-Blackledge doctrine created years ago by Court)
(plea, waives, nonjurisdictional claims with possible exception of Menna-Blackledge doctrine created years ago by Court)
(doctrine, produces, confusion)
(doctrine, is, vacuous)
(doctrine, produces, nothing)
(I, would limit doctrine to, particular types of claims involved in cases)
(I, would limit doctrine At, minimum)
(I, would limit, doctrine)
(I, would limit doctrine to, types of claims involved in cases)
(I, would limit doctrine to, types of claims)
(I, would limit doctrine to, types)
(I, would limit doctrine to, particular types)
(I, would limit doctrine to, types of claims involved)
(I, would limit doctrine to, particular types of claims)
(I, would limit doctrine to, particular types of claims involved)
(today 's decision, bedevil, lower courts)
(today, has, decision)
(today 's decision, bedevil, courts)
(Commission, Overview of, Federal Criminal Cases)
(Felony Sentences, is in, Courts)
(Justice, of Dept. is, S. Rosenmerkel)
(Dept., Bureau of, Justice Statistics)
(Commission, Sentences in, Courts)
(Justice, of Dept. is, M. Durose)
(p. 1, rev. at_time, Nov. 22 2010)
(Advisory Committee, has, Notes)
(they, are before, Court)
(we, prescribe, rule)
(it, recommends, promulgation of rule)
(Advisory Committee, has, Notes)
(we, prescribe rule under, Rules Enabling Act)
(it, recommends, promulgation)
(it, promulgation of, rule)
(cases, prosecuted in, court)
(cases, prosecuted in, federal court)
(defendants, is in, Broce)
(It, is, difficult)
(Class, has, Second Amendment argument)
(it, is, unsecured)
(it, is, publicly accessible)
(argument, depends on, Class 's own personal characteristics)
(its distance, must pass through, entering)
(his amicus, presented, it)
(his court-appointed amicus, presented, it)
(argument, depends on, Class 's characteristics)
(Class, on, own personal characteristics including record of mental health)
(argument, depends on, Class 's own characteristics)
(it, is, accessible)
(argument, depends on, Class 's personal characteristics)
(Support, is in, No. 15-3015)
(it, is part of, Capitol Grounds)
(lot, is, publicly accessible)
(Class, has, due process argument)
(signs, are, located)
(guns, are, prohibited)
(it, is, part)
(Maryland Avenue lot, is, part)
(signs, are, where located)
(lot, is, accessible)
(such signs, are, where located)
(such signs, are, located)
(arguments, require, facts)
